description,hit_into_play,,,,,,,
,,,,,,,,
加總 - launch_speed_angle,欄標籤,,,,,,,
列標籤,1,2,3,4,5,6,(空白),總計
1,0.84%,16.81%,35.29%,33.61%,8.40%,5.04%,0.00%,100.00%
2,1.39%,8.33%,35.42%,27.78%,10.42%,16.67%,0.00%,100.00%
3,0.00%,6.78%,30.51%,30.51%,16.95%,15.25%,0.00%,100.00%
4,0.82%,16.39%,39.34%,26.23%,12.30%,4.92%,0.00%,100.00%
5,0.30%,9.47%,21.30%,30.77%,13.31%,24.85%,0.00%,100.00%
6,0.49%,18.72%,25.12%,37.44%,12.32%,5.91%,0.00%,100.00%
7,1.19%,19.05%,17.86%,33.33%,0.00%,28.57%,0.00%,100.00%
8,1.37%,16.44%,20.55%,30.14%,6.85%,24.66%,0.00%,100.00%
9,1.23%,26.99%,12.88%,44.17%,0.00%,14.72%,0.00%,100.00%
11,2.68%,10.71%,34.82%,28.57%,17.86%,5.36%,0.00%,100.00%
12,2.74%,16.44%,36.99%,43.84%,0.00%,0.00%,0.00%,100.00%
13,5.26%,21.05%,21.05%,42.11%,0.00%,10.53%,0.00%,100.00%
14,1.16%,48.84%,17.44%,32.56%,0.00%,0.00%,0.00%,100.00%
總計,1.13%,16.54%,26.01%,33.31%,9.07%,13.94%,0.00%,100.00%
